       Lon        Lat  FastDir(deg)  Amplitude(%)
 24.342295  45.713739       -16.091      0.038718
 25.438874  45.821367       -20.636      0.180686
 26.539493  45.918467       -21.769      0.232310
 27.643759  46.004965       -32.084      0.077437
 23.986916  44.944132       -12.949      0.038718
 25.064990  45.053549       -20.051      0.258123
 26.147003  45.152786       -21.360      0.567870
 27.232597  45.241772       -23.030      0.387184
 28.321398  45.320443       -54.968      0.232310
 29.413027  45.388742       -61.864      0.348466
 30.507095  45.446619       -64.435      0.129061
 24.703642  44.282116       -14.376      0.129061
 25.767646  44.383234       -20.149      0.529151
 26.835152  44.474441       -21.521      0.709837
 27.905816  44.555675       -38.616      0.580776
 28.979288  44.626880       -59.157      1.071209
 30.055211  44.688006       -61.199      0.877617
 31.133218  44.739011       -63.025      0.412996
 32.212938  44.779858       -67.175      0.129061
 33.293997  44.810519       -76.857      0.025812
 34.376014  44.830972        50.787      0.000000
 24.354249  43.507186        -0.458      0.038718
 25.400818  43.609936       -13.505      0.219404
 26.450801  43.703108       -19.331      0.632400
 27.503883  43.786639       -24.181      0.774368
 28.559741  43.860476       -49.730      1.045397
 29.618044  43.924568       -59.082      1.522923
 30.678456  43.978874       -60.107      1.419674
 31.740633  44.023356       -61.154      0.838899
 32.804229  44.057984       -63.101      0.374278
 33.868892  44.082735       -66.442      0.129061
 34.934268  44.097593       -69.113      0.051625
 36.000000  44.102547       -68.238      0.038718
 37.065733  44.097593       -63.897      0.012906
 38.131109  44.082735       -66.880      0.012906
 24.016259  42.728872         8.129      0.025812
 25.045944  42.833017         1.262      0.090343
 26.078951  42.927905       -11.434      0.322653
 27.114989  43.013478       -15.685      0.735649
 28.153759  43.089682       -21.953      0.748556
 29.194958  43.156467       -50.025      0.800180
 30.238272  43.213792       -58.901      1.406768
 31.283388  43.261619       -58.350      1.574548
 32.329982  43.299918       -59.442      1.290613
 33.377731  43.328664       -62.869      0.838899
 34.426308  43.347839       -69.435      0.503339
 35.475381  43.357429       -75.753      0.271029
 36.524620  43.357429       -74.115      0.129061
 37.573693  43.347839       -70.135      0.090343
 38.622269  43.328664       -71.142      0.077437
 39.670018  43.299918       -71.272      0.064531
 40.716613  43.261619       -70.702      0.051625
 41.761728  43.213792       -54.231      0.012906
 24.702482  42.052593         5.329      0.090343
 25.719041  42.148961         4.467      0.296841
 26.738554  42.236329        -4.755      0.580776
 27.760748  42.314644       -11.790      0.890523
 28.785340  42.383859       -15.189      0.658213
 29.812045  42.443932       -47.855      0.387184
 30.840569  42.494826       -58.042      0.916335
 31.870617  42.536509       -58.212      1.290613
 32.901888  42.568957       -64.330      1.264801
 33.934080  42.592148       -73.100      1.639079
 34.966886  42.606068       -79.198      1.613266
 36.000000  42.610709       -86.065      0.696931
 37.033114  42.606068       -78.414      0.412996
 38.065921  42.592148       -72.679      0.348466
 39.098112  42.568957       -74.220      0.283935
 40.129384  42.536509       -80.445      0.219404
 41.159432  42.494826       -85.929      0.116155
 42.187956  42.443932         7.371      0.103249
 43.214660  42.383859         1.916      0.167780
 44.239253  42.314644       -10.519      0.116155
 45.261446  42.236329       -11.979      0.077437
 24.369915  41.268780         2.974      0.077437
 25.370535  41.366397         6.492      0.400090
 26.374027  41.455322         6.814      0.800180
 27.380139  41.535503        -0.888      1.006678
 28.388611  41.606894        -7.289      1.109927
 29.399179  41.669454        -5.996      0.645307
 30.411573  41.723145        28.143      0.064531
 31.425520  41.767937        87.459      0.361372
 32.440743  41.803802       -84.644      0.722743
 33.456961  41.830719       -82.172      1.380956
 34.473891  41.848673       -84.511      2.568320
 35.491250  41.857653        87.947      1.651985
 36.508751  41.857653        75.927      0.813086
 37.526110  41.848673       -79.949      0.554964
 38.543040  41.830719       -69.966      0.593682
 39.559258  41.803802       -84.555      0.606588
 40.574481  41.767937        77.027      0.529151
 41.588428  41.723145        29.450      0.361372
 42.600822  41.669454        13.071      0.671119
 43.611390  41.606894        -2.105      0.451715
 44.619862  41.535503       -13.466      0.245216
 45.625974  41.455322       -12.251      0.103249
 24.047752  40.481686         0.186      0.038718
 25.032923  40.580333         4.446      0.232310
 26.020881  40.670586         9.148      0.684025
 27.011390  40.752397        10.048      0.851805
 28.004214  40.825720         1.323      0.955054
 28.999107  40.890514        -2.187      0.903429
 29.995821  40.946742        22.514      0.490433
 30.994104  40.994375        54.102      1.161552
 31.993700  41.033384        62.937      1.419674
 32.994350  41.063747        81.755      0.980866
 33.995792  41.085447       -88.969      1.071209
 34.997764  41.098472        75.646      1.200270
 36.000000  41.102815        52.251      1.187364
 37.002237  41.098472        53.308      0.800180
 38.004208  41.085447       -86.316      0.542057
 39.005651  41.063747       -82.410      0.955054
 40.006300  41.033384        79.236      1.174458
 41.005896  40.994375        45.383      0.658213
 42.004180  40.946742        15.307      1.251895
 43.000894  40.890514         3.179      1.380956
 43.995787  40.825720       -10.806      0.825992
 44.988610  40.752397       -15.809      0.348466
 45.979120  40.670586       -15.542      0.064531
 24.705724  39.790884         5.177      0.103249
 25.678615  39.882245        11.395      0.335559
 26.653987  39.965457        36.984      0.464621
 27.631619  40.040475        57.648      0.671119
 28.611286  40.107261        64.167      0.464621
 29.592760  40.165777        61.690      0.374278
 30.575806  40.215992        53.604      0.916335
 31.560190  40.257880        49.016      1.342238
 32.545671  40.291418        30.923      0.412996
 33.532009  40.316587       -23.975      0.619494
 34.518960  40.333374         1.807      0.658213
 35.506279  40.341770        29.361      0.967960
 36.493721  40.341770        33.841      1.303519
 37.481041  40.333374        38.891      1.135740
 38.467992  40.316587        70.178      0.684025
 39.454329  40.291418        78.105      0.735649
 40.439811  40.257880        34.442      0.451715
 41.424194  40.215992         3.211      1.290613
 42.407241  40.165777        -2.701      2.052075
 43.388714  40.107261        -8.376      1.923014
 44.368381  40.040475       -13.686      1.032490
 45.346013  39.965457       -18.071      0.219404
 24.388474  38.998162         9.414      0.090343
 25.346755  39.090419        13.683      0.400090
 26.307438  39.174812        15.587      0.593682
 27.270322  39.251299        67.959      0.542057
 28.235200  39.319840        78.229      0.980866
 29.201859  39.380402        84.950      0.529151
 30.170087  39.432952        47.406      0.283935
 31.139664  39.477464        34.348      1.045397
 32.110370  39.513914        12.010      1.122833
 33.081982  39.542284        -9.940      1.522923
 34.054276  39.562559        -6.253      1.497111
 35.027024  39.574728         1.759      1.458393
 36.000000  39.578785         8.989      0.864711
 36.972976  39.574728        30.678      1.006678
 37.945725  39.562559        41.780      1.097021
 38.918018  39.542284        54.805      0.774368
 39.889631  39.513914        23.837      0.658213
 40.860337  39.477464         6.764      1.122833
 41.829914  39.432952        -2.530      1.793952
 42.798141  39.380402        -6.166      2.336010
 43.764801  39.319840        -9.235      1.768140
 44.729678  39.251299       -14.040      0.451715
 45.692562  39.174812       -28.912      0.038718
 24.080738  38.202277        12.439      0.103249
 25.024845  38.295225        15.864      0.425902
 25.971274  38.380587        10.573      0.993772
 26.919840  38.458323        -6.090      0.980866
 27.870351  38.528395       -21.384      0.761462
 28.822613  38.590768       -15.483      0.967960
 29.776429  38.645413       -11.015      1.290613
 30.731596  38.692302        11.978      1.045397
 31.687913  38.731411        23.932      0.980866
 32.645173  38.762722        -1.339      0.477527
 33.603169  38.786219         8.228      0.322653
 34.561690  38.801891        11.662      0.735649
 35.520528  38.809728        14.302      0.671119
 36.479472  38.809728        41.037      0.361372
 37.438310  38.801891        48.264      0.787274
 38.396832  38.786219        45.051      1.135740
 39.354827  38.762722        35.846      0.813086
 40.312087  38.731411        23.846      0.993772
 41.268404  38.692302        20.879      1.380956
 42.223572  38.645413         6.236      1.677797
 43.177387  38.590768        -0.263      1.368050
 44.129650  38.528395        -3.810      0.580776
 45.080161  38.458323       -10.290      0.077437
 24.712452  37.496777        20.265      0.451715
 25.645047  37.582904        27.394      0.967960
 26.579711  37.661678        25.040      0.890523
 27.516267  37.733062        -9.376      0.890523
 28.454536  37.797022        -5.424      1.419674
 29.394337  37.853530         0.197      1.768140
 30.335484  37.902557        -8.006      0.451715
 31.277789  37.944081       -84.567      0.490433
 32.221064  37.978083       -73.924      0.477527
 33.165116  38.004545       -76.464      0.335559
 34.109752  38.023456        62.416      0.658213
 35.054779  38.034806        46.809      0.425902
 36.000000  38.038590        27.808      0.374278
 36.945222  38.034806        21.782      0.477527
 37.890248  38.023456        23.090      0.709837
 38.834885  38.004545        20.471      0.993772
 39.778937  37.978083        17.749      0.903429
 40.722211  37.944081        19.109      1.355144
 41.664517  37.902557        13.956      1.613266
 42.605664  37.853530        18.551      0.967960
 43.545464  37.797022        46.596      0.374278
 44.483734  37.733062        44.760      0.129061
 24.409164  36.695187         3.490      1.187364
 25.328331  36.781882        23.579      1.393862
 26.249495  36.861490        47.120      2.103699
 27.172495  36.933975        58.725      2.452165
 28.097165  36.999306        49.462      2.477977
 29.023337  37.057452        29.725      3.303970
 29.950842  37.108388        42.457      1.729422
 30.879507  37.152091        87.985      2.232761
 31.809156  37.188540       -80.260      2.219855
 32.739614  37.217719       -79.470      1.419674
 33.670702  37.239616        81.049      1.187364
 34.602240  37.254219        60.612      0.967960
 35.534050  37.261522        13.232      0.813086
 36.465950  37.261522         6.885      1.510017
 37.397760  37.254219         3.616      1.251895
 38.329299  37.239616         3.535      1.032490
 39.260387  37.217719         2.274      0.838899
 40.190844  37.188540         3.658      1.019584
 41.120494  37.152091         5.903      1.122833
 42.049159  37.108388        12.661      0.890523
 42.976663  37.057452        60.456      0.361372
 43.902836  36.999306        71.403      0.271029
 24.114587  35.890566         0.199      1.626172
 25.020718  35.977638         5.353      3.897652
 25.928773  36.057883        26.527      3.768590
 26.838602  36.131267        55.399      4.555864
 27.750054  36.197758        63.186      5.162452
 28.662974  36.257327        54.086      4.194493
 29.577207  36.309950        49.105      2.684475
 30.492593  36.355602        77.080      2.490883
 31.408970  36.394265       -87.257      2.632851
 32.326177  36.425921       -78.929      2.181136
 33.244049  36.450557       -84.096      1.535830
 34.162421  36.468162        67.780      1.238989
 35.081127  36.478728        37.634      1.277707
 36.000000  36.482251        14.318      1.897201
 36.918873  36.478728         6.639      1.329331
 37.837579  36.468162        -1.627      0.864711
 38.755951  36.450557        -5.639      0.632400
 39.673823  36.425921        -6.738      0.464621
 40.591030  36.394265        -6.141      0.400090
 41.507408  36.355602         0.705      0.348466
 42.422793  36.309950        28.904      0.025812
 43.337026  36.257327        86.941      0.167780
 24.721820  35.170287         2.891      2.348916
 25.617142  35.250980        15.918      3.303970
 26.514174  35.325066        46.964      3.768590
 27.412779  35.392515        61.704      4.323554
 28.312814  35.453300        65.725      3.381406
 29.214134  35.507394        66.433      2.052075
 30.116594  35.554776        76.022      1.574548
 31.020046  35.595426        85.841      1.522923
 31.924339  35.629327       -81.510      1.161552
