       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 34.266465  30.451064       4.297  4.296885  0.002671
 34.466465  30.451064       4.297  4.296864  0.003173
 34.666465  30.451064       4.297  4.296838  0.003767
 33.666465  30.651064       4.297  4.296934  0.001530
 33.866465  30.651064       4.297  4.296923  0.001804
 34.066465  30.651064       4.297  4.296903  0.002260
 34.266465  30.651064       4.297  4.296884  0.002694
 34.466465  30.651064       4.297  4.296866  0.003128
 34.666465  30.651064       4.297  4.296846  0.003584
 34.866465  30.651064       4.297  4.296823  0.004109
 35.066465  30.651064       4.297  4.296823  0.004109
 33.466465  30.851064       4.297  4.296912  0.002055
 33.666465  30.851064       4.297  4.296931  0.001598
 33.866465  30.851064       4.297  4.296921  0.001849
 34.066465  30.851064       4.297  4.296903  0.002260
 34.266465  30.851064       4.297  4.296877  0.002854
 34.466465  30.851064       4.297  4.296865  0.003150
 34.666465  30.851064       4.297  4.296846  0.003584
 34.866465  30.851064       4.297  4.296827  0.004018
 35.066465  30.851064       4.297  4.296823  0.004109
 33.266465  31.051064       4.297  4.296727  0.006347
 33.466465  31.051064       4.297  4.296760  0.005593
 33.666465  31.051064       4.297  4.296792  0.004840
 33.866465  31.051064       4.297  4.296762  0.005548
 34.066465  31.051064       4.297  4.296749  0.005844
 34.266465  31.051064       4.297  4.296730  0.006278
 34.466465  31.051064       4.297  4.296722  0.006461
 34.666465  31.051064       4.297  4.296684  0.007351
 34.866465  31.051064       4.297  4.296641  0.008356
 35.066465  31.051064       4.297  4.296612  0.009040
 35.266465  31.051064       4.297  4.296556  0.010342
 32.066465  31.251064       4.297  4.297107 -0.002488
 32.266465  31.251064       4.297  4.297047 -0.001096
 32.466465  31.251064       4.297  4.296983  0.000388
 32.666465  31.251064       4.297  4.296839  0.003744
 32.866465  31.251064       4.297  4.296728  0.006324
 33.066465  31.251064       4.297  4.296667  0.007739
 33.266465  31.251064       4.297  4.296652  0.008104
 33.466465  31.251064       4.297  4.296634  0.008515
 33.666465  31.251064       4.297  4.296586  0.009634
 33.866465  31.251064       4.297  4.296566  0.010091
 34.066465  31.251064       4.297  4.296566  0.010091
 34.266465  31.251064       4.297  4.296569  0.010022
 34.466465  31.251064       4.297  4.296516  0.011255
 34.666465  31.251064       4.297  4.296459  0.012579
 34.866465  31.251064       4.297  4.296409  0.013743
 35.066465  31.251064       4.297  4.296402  0.013926
 35.266465  31.251064       4.297  4.296396  0.014063
 35.466465  31.251064       4.297  4.296386  0.014291
 35.666465  31.251064       4.297  4.296385  0.014314
 35.866465  31.251064       4.297  4.296517  0.011232
 31.666465  31.451064       4.297  4.297220 -0.005114
 31.866465  31.451064       4.297  4.297157 -0.003653
 32.066465  31.451064       4.297  4.297102 -0.002374
 32.266465  31.451064       4.297  4.297046 -0.001073
 32.466465  31.451064       4.297  4.296990  0.000228
 32.666465  31.451064       4.297  4.296837  0.003790
 32.866465  31.451064       4.297  4.296716  0.006598
 33.066465  31.451064       4.297  4.296633  0.008538
 33.266465  31.451064       4.297  4.296588  0.009588
 33.466465  31.451064       4.297  4.296510  0.011392
 33.666465  31.451064       4.297  4.296442  0.012990
 33.866465  31.451064       4.297  4.296408  0.013766
 34.066465  31.451064       4.297  4.296389  0.014223
 34.266465  31.451064       4.297  4.296359  0.014908
 34.466465  31.451064       4.297  4.296304  0.016186
 34.666465  31.451064       4.297  4.296247  0.017533
 34.866465  31.451064       4.297  4.296243  0.017624
 35.066465  31.451064       4.297  4.296233  0.017853
 35.266465  31.451064       4.297  4.296279  0.016780
 35.466465  31.451064       4.297  4.296297  0.016369
 35.666465  31.451064       4.297  4.296378  0.014474
 35.866465  31.451064       4.297  4.296482  0.012054
 36.066465  31.451064       4.297  4.296603  0.009246
 36.266465  31.451064       4.297  4.296644  0.008287
 31.266465  31.651064       4.297  4.297087 -0.002032
 31.466465  31.651064       4.297  4.297142 -0.003310
 31.666465  31.651064       4.297  4.297193 -0.004497
 31.866465  31.651064       4.297  4.297128 -0.002968
 32.066465  31.651064       4.297  4.297030 -0.000708
 32.266465  31.651064       4.297  4.296982  0.000411
 32.466465  31.651064       4.297  4.296969  0.000731
 32.666465  31.651064       4.297  4.296839  0.003744
 32.866465  31.651064       4.297  4.296661  0.007899
 33.066465  31.651064       4.297  4.296565  0.010113
 33.266465  31.651064       4.297  4.296545  0.010593
 33.466465  31.651064       4.297  4.296416  0.013584
 33.666465  31.651064       4.297  4.296328  0.015638
 33.866465  31.651064       4.297  4.296255  0.017328
 34.066465  31.651064       4.297  4.296224  0.018058
 34.266465  31.651064       4.297  4.296135  0.020136
 34.466465  31.651064       4.297  4.296095  0.021072
 34.666465  31.651064       4.297  4.296112  0.020661
 34.866465  31.651064       4.297  4.296106  0.020798
 35.066465  31.651064       4.297  4.296109  0.020729
 35.266465  31.651064       4.297  4.296164  0.019451
 35.466465  31.651064       4.297  4.296274  0.016894
 35.666465  31.651064       4.297  4.296380  0.014428
 35.866465  31.651064       4.297  4.296484  0.012008
 36.066465  31.651064       4.297  4.296584  0.009680
 36.266465  31.651064       4.297  4.296644  0.008287
 36.466465  31.651064       4.297  4.296644  0.008287
 30.866465  31.851064       4.297  4.296559  0.010273
 31.066465  31.851064       4.297  4.296716  0.006598
 31.266465  31.851064       4.297  4.296843  0.003653
 31.466465  31.851064       4.297  4.296883  0.002717
 31.666465  31.851064       4.297  4.296827  0.004018
 31.866465  31.851064       4.297  4.296801  0.004634
 32.066465  31.851064       4.297  4.296778  0.005159
 32.266465  31.851064       4.297  4.296743  0.005981
 32.466465  31.851064       4.297  4.296545  0.010593
 32.666465  31.851064       4.297  4.296335  0.015478
 32.866465  31.851064       4.297  4.296209  0.018401
 33.066465  31.851064       4.297  4.296136  0.020113
 33.266465  31.851064       4.297  4.296014  0.022944
 33.466465  31.851064       4.297  4.295821  0.027441
 33.666465  31.851064       4.297  4.295719  0.029815
 33.866465  31.851064       4.297  4.295653  0.031345
 34.066465  31.851064       4.297  4.295646  0.031505
 34.266465  31.851064       4.297  4.295523  0.034381
 34.466465  31.851064       4.297  4.295494  0.035043
 34.666465  31.851064       4.297  4.295497  0.034975
 34.866465  31.851064       4.297  4.295521  0.034427
 35.066465  31.851064       4.297  4.295611  0.032327
 35.266465  31.851064       4.297  4.295816  0.027555
 35.466465  31.851064       4.297  4.295983  0.023674
 35.666465  31.851064       4.297  4.296069  0.021665
 35.866465  31.851064       4.297  4.296208  0.018423
 36.066465  31.851064       4.297  4.296409  0.013743
 36.266465  31.851064       4.297  4.296644  0.008287
 36.466465  31.851064       4.297  4.296644  0.008287
 30.266465  32.051064       4.297  4.296555  0.010365
 30.466465  32.051064       4.297  4.296521  0.011141
 30.666465  32.051064       4.297  4.296471  0.012305
 30.866465  32.051064       4.297  4.296426  0.013355
 31.066465  32.051064       4.297  4.296536  0.010798
 31.266465  32.051064       4.297  4.296610  0.009086
 31.466465  32.051064       4.297  4.296550  0.010479
 31.666465  32.051064       4.297  4.296503  0.011575
 31.866465  32.051064       4.297  4.296490  0.011871
 32.066465  32.051064       4.297  4.296480  0.012100
 32.266465  32.051064       4.297  4.296260  0.017213
 32.466465  32.051064       4.297  4.296002  0.023218
 32.666465  32.051064       4.297  4.295762  0.028811
 32.866465  32.051064       4.297  4.295708  0.030066
 33.066465  32.051064       4.297  4.295545  0.033856
 33.266465  32.051064       4.297  4.295266  0.040363
 33.466465  32.051064       4.297  4.295040  0.045613
 33.666465  32.051064       4.297  4.295020  0.046070
 33.866465  32.051064       4.297  4.295069  0.044928
 34.066465  32.051064       4.297  4.294839  0.050293
 34.266465  32.051064       4.297  4.294676  0.054083
 34.466465  32.051064       4.297  4.294711  0.053261
 34.666465  32.051064       4.297  4.294883  0.049266
 34.866465  32.051064       4.297  4.294924  0.048307
 35.066465  32.051064       4.297  4.294931  0.048147
 35.266465  32.051064       4.297  4.295166  0.042691
 35.466465  32.051064       4.297  4.295494  0.035043
 35.666465  32.051064       4.297  4.295733  0.029496
 35.866465  32.051064       4.297  4.295837  0.027076
 36.066465  32.051064       4.297  4.295983  0.023674
 36.266465  32.051064       4.297  4.296228  0.017967
 30.066465  32.251064       4.297  4.296555  0.010365
 30.266465  32.251064       4.297  4.296555  0.010365
 30.466465  32.251064       4.297  4.296509  0.011438
 30.666465  32.251064       4.297  4.296466  0.012419
 30.866465  32.251064       4.297  4.296424  0.013401
 31.066465  32.251064       4.297  4.296398  0.014017
 31.266465  32.251064       4.297  4.296380  0.014428
 31.466465  32.251064       4.297  4.296316  0.015912
 31.666465  32.251064       4.297  4.296261  0.017191
 31.866465  32.251064       4.297  4.296183  0.019017
 32.066465  32.251064       4.297  4.296077  0.021483
 32.266465  32.251064       4.297  4.295770  0.028628
 32.466465  32.251064       4.297  4.295475  0.035500
 32.666465  32.251064       4.297  4.295278  0.040066
 32.866465  32.251064       4.297  4.295182  0.042303
 33.066465  32.251064       4.297  4.294841  0.050248
 33.266465  32.251064       4.297  4.294543  0.057188
 33.466465  32.251064       4.297  4.294332  0.062096
 33.666465  32.251064       4.297  4.294334  0.062051
 33.866465  32.251064       4.297  4.294234  0.064379
 34.066465  32.251064       4.297  4.294062  0.068374
 34.266465  32.251064       4.297  4.293871  0.072826
 34.466465  32.251064       4.297  4.293966  0.070612
 34.666465  32.251064       4.297  4.294125  0.066913
 34.866465  32.251064       4.297  4.294292  0.063032
 35.066465  32.251064       4.297  4.294327  0.062210
 35.266465  32.251064       4.297  4.294561  0.056754
 35.466465  32.251064       4.297  4.294909  0.048672
 35.666465  32.251064       4.297  4.295271  0.040248
 35.866465  32.251064       4.297  4.295378  0.037737
 36.066465  32.251064       4.297  4.295511  0.034655
 36.266465  32.251064       4.297  4.295714  0.029929
 29.866465  32.451064       4.297  4.295771  0.028605
 30.066465  32.451064       4.297  4.295992  0.023469
 30.266465  32.451064       4.297  4.296247  0.017533
 30.466465  32.451064       4.297  4.296252  0.017419
 30.666465  32.451064       4.297  4.296085  0.021300
 30.866465  32.451064       4.297  4.296035  0.022464
 31.066465  32.451064       4.297  4.296115  0.020592
 31.266465  32.451064       4.297  4.296220  0.018149
 31.466465  32.451064       4.297  4.295789  0.028172
 31.666465  32.451064       4.297  4.295649  0.031436
 31.866465  32.451064       4.297  4.295658  0.031231
 32.066465  32.451064       4.297  4.295667  0.031025
 32.266465  32.451064       4.297  4.295242  0.040910
 32.466465  32.451064       4.297  4.294895  0.048992
 32.666465  32.451064       4.297  4.294724  0.052964
 32.866465  32.451064       4.297  4.294572  0.056503
 33.066465  32.451064       4.297  4.294117  0.067096
 33.266465  32.451064       4.297  4.293911  0.071890
 33.466465  32.451064       4.297  4.293789  0.074721
 33.666465  32.451064       4.297  4.293661  0.077712
 33.866465  32.451064       4.297  4.293386  0.084104
 34.066465  32.451064       4.297  4.293331  0.085382
 34.266465  32.451064       4.297  4.293356  0.084812
 34.466465  32.451064       4.297  4.293311  0.085862
 34.666465  32.451064       4.297  4.293324  0.085542
 34.866465  32.451064       4.297  4.293584  0.079492
 35.066465  32.451064       4.297  4.293893  0.072301
 35.266465  32.451064       4.297  4.294119  0.067050
 35.466465  32.451064       4.297  4.294290  0.063078
 35.666465  32.451064       4.297  4.294600  0.055864
 35.866465  32.451064       4.297  4.294856  0.049905
 36.066465  32.451064       4.297  4.294980  0.047006
 28.266465  32.651064       4.297  4.295569  0.033308
 28.466465  32.651064       4.297  4.295415  0.036892
 28.666465  32.651064       4.297  4.295282  0.039974
 28.866465  32.651064       4.297  4.295143  0.043216
 29.266465  32.651064       4.297  4.294620  0.055384
 29.466465  32.651064       4.297  4.294411  0.060247
 29.666465  32.651064       4.297  4.294749  0.052394
 29.866465  32.651064       4.297  4.295045  0.045499
 30.066465  32.651064       4.297  4.295185  0.042235
 30.266465  32.651064       4.297  4.295083  0.044609
 30.466465  32.651064       4.297  4.295171  0.042554
 30.666465  32.651064       4.297  4.295270  0.040271
 30.866465  32.651064       4.297  4.295318  0.039153
 31.066465  32.651064       4.297  4.294938  0.047988
 31.266465  32.651064       4.297  4.294631  0.055133
 31.466465  32.651064       4.297  4.294478  0.058695
 31.666465  32.651064       4.297  4.294479  0.058672
 31.866465  32.651064       4.297  4.294334  0.062051
 32.066465  32.651064       4.297  4.293971  0.070497
 32.266465  32.651064       4.297  4.293688  0.077072
 32.466465  32.651064       4.297  4.293670  0.077506
 32.666465  32.651064       4.297  4.293519  0.080999
 32.866465  32.651064       4.297  4.293228  0.087779
 33.066465  32.651064       4.297  4.292991  0.093304
 33.266465  32.651064       4.297  4.292983  0.093487
 33.466465  32.651064       4.297  4.292846  0.096683
 33.666465  32.651064       4.297  4.292746  0.098989
 33.866465  32.651064       4.297  4.292659  0.101020
 34.066465  32.651064       4.297  4.292700  0.100062
 34.266465  32.651064       4.297  4.292665  0.100883
 34.466465  32.651064       4.297  4.292672  0.100724
 34.666465  32.651064       4.297  4.292840  0.096820
 34.866465  32.651064       4.297  4.293164  0.089263
 35.066465  32.651064       4.297  4.293419  0.083328
 35.266465  32.651064       4.297  4.293639  0.078214
 35.466465  32.651064       4.297  4.293983  0.070201
 35.666465  32.651064       4.297  4.294415  0.060156
 35.866465  32.651064       4.297  4.294707  0.053352
 36.066465  32.651064       4.297  4.294768  0.051937
 27.866465  32.851064       4.297  4.295643  0.031573
 28.066465  32.851064       4.297  4.295643  0.031573
 28.266465  32.851064       4.297  4.295507  0.034746
 28.466465  32.851064       4.297  4.295389  0.037486
