     lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 34.0303  30.571891       4.961  4.961000  0.000000
 34.2303  30.571891       4.961  4.961000  0.000000
 34.4303  30.571891       4.961  4.961000  0.000000
 34.6303  30.571891       4.961  4.961000  0.000000
 34.8303  30.571891       4.961  4.961000  0.000000
 35.0303  30.571891       4.961  4.961000  0.000000
 33.6303  30.771891       4.961  4.961000  0.000000
 33.8303  30.771891       4.961  4.961000  0.000000
 34.0303  30.771891       4.961  4.961000  0.000000
 34.2303  30.771891       4.961  4.961000  0.000000
 34.4303  30.771891       4.961  4.961000  0.000000
 34.6303  30.771891       4.961  4.961000  0.000000
 34.8303  30.771891       4.961  4.961000  0.000000
 35.0303  30.771891       4.961  4.961000  0.000000
 33.4303  30.971891       4.961  4.961000  0.000000
 33.6303  30.971891       4.961  4.961000  0.000000
 33.8303  30.971891       4.961  4.961000  0.000000
 34.0303  30.971891       4.961  4.961000  0.000000
 34.2303  30.971891       4.961  4.961000  0.000000
 34.4303  30.971891       4.961  4.960702  0.006015
 34.6303  30.971891       4.961  4.961000  0.000000
 34.8303  30.971891       4.961  4.961000  0.000000
 35.0303  30.971891       4.961  4.960702  0.006015
 35.2303  30.971891       4.961  4.960702  0.006015
 33.0303  31.171891       4.961  4.960702  0.006015
 33.2303  31.171891       4.961  4.960702  0.006015
 33.4303  31.171891       4.961  4.960702  0.006015
 33.6303  31.171891       4.961  4.960702  0.006015
 33.8303  31.171891       4.961  4.960702  0.006015
 34.0303  31.171891       4.961  4.960702  0.006015
 34.2303  31.171891       4.961  4.960702  0.006015
 34.4303  31.171891       4.961  4.960702  0.006015
 34.6303  31.171891       4.961  4.960702  0.006015
 34.8303  31.171891       4.961  4.960702  0.006015
 35.0303  31.171891       4.961  4.960702  0.006015
 35.2303  31.171891       4.961  4.960702  0.006015
 35.4303  31.171891       4.961  4.960702  0.006015
 35.6303  31.171891       4.961  4.960702  0.006015
 32.6303  31.371891       4.961  4.961000  0.000000
 32.8303  31.371891       4.961  4.961000  0.000000
 33.0303  31.371891       4.961  4.960702  0.006015
 33.2303  31.371891       4.961  4.960702  0.006015
 33.4303  31.371891       4.961  4.960702  0.006015
 33.6303  31.371891       4.961  4.960702  0.006015
 33.8303  31.371891       4.961  4.960702  0.006015
 34.0303  31.371891       4.961  4.960702  0.006015
 34.2303  31.371891       4.961  4.960702  0.006015
 34.4303  31.371891       4.961  4.960702  0.006015
 34.6303  31.371891       4.961  4.960702  0.006015
 34.8303  31.371891       4.961  4.960702  0.006015
